
Jo PRO^1^SG
teníem VBDI^1^PL
con C
si C
jurat VNI
ho PRO^A^NTR
haguéssem VBDS^1^PL
. .

E CONJ
, COMMA
quant C
vench VBDI^3^SG
que C
aquest D^DEM
sagrament N
fo VBDI^3^SG
feyt VNI
, COMMA
tiraren VBDI^3^PL
-se PRO^RFL^3^PL
ab P
nós PRO^1^PL
los D
bisbes N
e CONJ
els D
nobles N
a P
una D^Q
part N
, COMMA
e CONJ
·i· NUM
de P
nostra D^POS
companya N
dix VBDI^3^SG
esta D^DEM
paraula N
, COMMA
mas CONJ
no NEG
·ns PRO^RFL^1^PL
membra VBPI^3^SG
·l D
nom N
qui C
la D
dix VBDI^3^SG
: :
Seynors VBI^2^PL
, COMMA
si C
no NEG
fem VBPI^1^PL
una D^Q
cosa N
, COMMA
no NEG
havem VBPI^1^PL
res PRO^Q
feyt VNI
. .

Que C
·ls D
sarraïns N
de P
la D
ila N
se PRO^RFL^3^SG
volien VBDI^3^PL
tolre VB
de P
la D
covinença N
que C
feyta VNI
havien VBDI^3^PL
a P
nostre D^POS
seyor N
lo D
rey N
e CONJ
, COMMA
si C
per P
aventura N
entraven VBDI^3^PL
en P
la D
ciutat N
·m· NUM
o CONJ
·ii· NUM
míllia N
o CONJ
·iii· NUM
o CONJ
·iiii· NUM
o CONJ
·v· NUM
míllia N
, COMMA
no NEG
seria VBPC^3^SG
tan ADV
leu ADJ
de P
pendre VB
Maylorques NPR
; ;
que C
éls PRO^3^PL
han VBPI^3^PL
prou D^Q
que C
menjar VB
e CONJ
, COMMA
si C
·s PRO^RFL^3^PL
crexien VBDI^3^PL
de P
gent N
, COMMA
defendre VB
-nos PRO^A^1^PL
hien VBDI^3^PL
la D
ciutat N
. .

Per P
què WPRO
conseylaria VBPC^1^SG
que C
tenguéssem VBDS^1^PL
a P
prop P
, COMMA
que C
negú PRO^Q
nos PRO^D^1^PL
pogués VBDS^3^SG
recuylir VB
dins ADV
la D
ciutat” N
. .

E CONJ
dixeren VBDI^3^PL
tots PRO^Q
a P
una D^Q
vou N
que C
deÿa VBDI^3^SG
bon ADJ
conseyl N
, COMMA
e CONJ
que C
·n PRO^ADV
fos VBDS^3^SG
cregut VNI
. .

E CONJ
l’ D
altra D^Q
dia N
los D
batles N
que C
nós PRO^1^PL
havíem VBDI^1^PL
enviats VNI
per P
les D
partides N
de P
Maylorques NPR
, COMMA
per P
nom N
En DPR
Jaques NPR
e CONJ
En DPR
Berenguer NPR
Durfort NPR
, COMMA
vengren VBDI^3^PL
de P
là ADV
, COMMA
que C
no NEG
s’ PRO^RFL^3^PL
í PRO^ADV
gosaven VBDI^3^PL
aturar VB
per P
paor N
que C
·ls D
sarraïns N
no NEG
·s PRO^RFL^3^SG
captinguessen VBDS^3^PL
mal N
d’ P
éls PRO^3^PL
. .

E CONJ
, COMMA
quant C
los D
veem VBDI^1^PL
venir VB
, COMMA
dix VBDI^3^SG
cada D^Q
·i· NUM
a P
l’ D
altre D^Q
: :
Ara ADV
és VBPI^3^SG
meylor ADJ
lo D
conseyl N
que C
acordam VBPI^1^PL
que C
no NEG
era VBDI^3^SG
de P
primer ADV
. .

E CONJ
metem VBDI^1^PL
mà N
a P
·iii· NUM
guaytes N
fer VB
; ;
la D
una D^Q
guayta N
sí ADV
era VBDI^3^SG
als P+D
genys N
e CONJ
a P
les D
cledes N
, COMMA
la D
altra D^Q
sí ADV
era VBDI^3^SG
contra P
la D
porta N
de P
Barbelec NPR
, COMMA
que C
és VBPI^3^SG
prop P
del P+D
castell N
que C
nós PRO^1^PL
donam VBDI^1^PL
al P+D
Temple NPR
, COMMA
la D
terça ADJ^Q
, COMMA
contra P
la D
porta N
de P
Portupí NPR
. .

E CONJ
cascuna PRO^3^SG
era VBDI^3^SG
de P
·c· NUM
cavals N
armats VNI
. .

E CONJ
era VBDI^3^SG
en P
aquel D^DEM
temps N
entre P
Nadal NPR
e CONJ
Cap N
d’ P
Any N
, COMMA
e CONJ
faÿa VBDI^3^SG
tan ADV
gran ADJ
fret N
, COMMA
que C
, COMMA
quan C
eren VBDI^3^PL
de P
fora ADV
e CONJ
havien VBDI^3^PL
estat VN
a P
anedura N
d’ P
una D^Q
legua N
o CONJ
de P
dues NUM
, COMMA
tornaven VBDI^3^PL
-se PRO^RFL^3^PL
·n PRO^ADV
a P
les D
tendes N
e CONJ
a P
les D
barraques N
per P
lo D
fret N
que C
havien VBDI^3^PL
e CONJ
gitaven VBDI^3^PL
escoltes N
, COMMA
si C
venrien VBPC^3^PL
en P
la D
ost N
. .

E CONJ
nós PRO^1^PL
enviam VBDI^1^PL
missatge N
de P
nuyt N
alí ADV
on C
nós PRO^1^PL
havíem VBDI^1^PL
meses VNI
les D
vetles N
si C
hi PRO^ADV
eren VBDI^3^PL
, COMMA
e CONJ
enviaren VBDI^3^PL
-nos PRO^D^1^PL
missatge N
que C
no NEG
hi PRO^ADV
eren VBDI^3^PL
. .

E CONJ
nós PRO^1^PL
levam VBDI^1^PL
-nos PRO^RFL^1^PL
de P
nuyt N
e CONJ
dixem VBDI^1^PL
-los PRO^D^3^PL
mal N
de P
mal N
que C
havien VBDI^3^PL
feyt VNI
, COMMA
e CONJ
metem VBDI^1^PL
-n’ PRO^ADV
í PRO^ADV
de P
freschs ADJ
d’ P
aquels D^DEM
FOL48v FOL
dels P+D
richs ADJ
hòmens N
e CONJ
de P
nostra D^POS
meynada N
. .

E CONJ
açò PRO^3^SG
duran P
·v· NUM
dies N
e CONJ
los D
·iii· NUM
derrers ADJ
dels P+D
·v· NUM
no NEG
durmim VBDI^1^PL
ni CONJ+NEG
de P
nuyt N
ni CONJ+NEG
de P
dia N
, COMMA
car C
totes D^Q
les D
coses N
que C
havien VBDI^3^PL
mester N
les D
caves N
ni CONJ+NEG
e CONJ
·l D
pas N
per P
on C
devia VBDI^3^SG
hom MAN
entrar VB
en P
la D
vila N
, COMMA
tot PRO^Q
nos PRO^D^1^PL
ho PRO^A^NTR
enviaven VBDI^3^PL
demanar VB
que C
·ls PRO^D^3^PL
donàssem VBDS^1^PL
conseyl N
a P
les D
coses N
que C
mester N
havien VBDI^3^PL
; ;
sí ADV
que C
valent VG
de P
·xii· NUM
diners N
nuyl D^Q
hom N
no NEG
volia VBDI^3^SG
fer VB
en P
la D
ost N
, COMMA
si C
a P
nós PRO^1^PL
no NEG
·n PRO^ADV
demanassen VBDS^3^PL
. .

E CONJ
nós PRO^1^PL
manllevam VBDI^1^PL
de P
mercaders N
qui C
havien VBDI^3^PL
lur D^POS
haver VB
en P
la D
ost N
·lx· NUM
míllia N
libr P
. .

, COMMA
que C
, COMMA
quan C
la D
vila N
seria VBPC^3^SG
presa VNI
, COMMA
que C
les PRO^A^3^PL
pagàssem VBDS^1^PL
, COMMA
d’ P
on C
faessen VBDS^3^PL
les D
coses N
necessàries ADJ
a P
profit VNI
de P
la D
ost N
e CONJ
de P
nós PRO^1^PL
, COMMA
perquè C
la D
vila N
s’ PRO^RFL^3^SG
acostava VBDI^3^SG
de P
pendre VB
. .

E CONJ
vetlam VBDI^1^PL
·iii· NUM
dies N
e CONJ
·iii· NUM
nuyts N
, COMMA
que C
, COMMA
quant C
nós PRO^1^PL
nos PRO^RFL^1^PL
cuydàvem VBDI^1^PL
adurmir VB
, COMMA
venien VBDI^3^PL
missatges N
d’ P
aquels D^DEM
qui C
havien VBDI^3^PL
mester N
nostre D^POS
conseyl N
e CONJ
, COMMA
quan C
nós PRO^1^PL
nos PRO^RFL^1^PL
volíem VBDI^1^PL
adurmir VB
, COMMA
no NEG
u PRO^A^NTR
podíem VBDI^1^PL
fer VB
, COMMA
car C
érem VBDI^1^PL
tan ADV
sentibles ADJ
, COMMA
que C
, COMMA
quant C
s’ PRO^RFL^3^SG
acostaven VBDI^3^PL
a P
la D
tenda N
, COMMA
ja ADV
u PRO^A^NTR
sentíem VBDI^1^PL
. .

Tant ADV
que C
vench VBDI^3^SG
a P
la D
nuyt N
ans CONJ
de P
la D
vespra N
de P
Cap N
d’ P
Any N
, COMMA
e CONJ
fo VBDI^3^SG
emprès VNI
en P
la D
ost N
que C
sus P
en P
l’ D
alba N
, COMMA
hoïdes VNI
les D
misses N
, COMMA
reebéssem VBDS^1^PL
tots PRO^Q
lo D
cors N
de P
Jhesuchrist NPR
, COMMA
e CONJ
que C
·s PRO^RFL^3^SG
garnissen VBDS^3^PL
tots PRO^Q
així ADV
con C
per P
combatre VB
. .

E CONJ
, COMMA
cant VG
fo VBDI^3^SG
aquela D^DEM
nuyt N
sus P
al P+D
prim ADJ^Q
son D^POS
, COMMA
vench VBDI^3^SG
Lop NPR
Xemèniç NPR
de P
Lúzia NPR
al P+D
lit N
e CONJ
clamà VBDI^3^SG
-nos PRO^A^1^PL
e CONJ
dix VBDI^3^SG
-nos PRO^D^1^PL
: :
Seyor N
, COMMA
jo PRO^1^SG
vench VBDI^3^SG
de P
les D
caves N
e CONJ
mané VBDI^1^SG
a P
·ii· NUM
escuders N
meus D^POS
que C
entrassen VBDS^3^PL
en P
la D
vila N
, COMMA
e CONJ
són VBPI^3^PL
-hi PRO^ADV
entrats VNI
e CONJ
veÿen VBDI^3^PL
molts D^Q
de P
morts VNI
jaure VB
per P
les D
places N
e CONJ
que C
de P
la D
sinquena ADJ^Q
tro P
a P
la D
sisena ADJ^Q
torra N
no NEG
vetlava VBDI^3^SG
negun D^Q
sarrahí VBDI^3^SG
. .

E CONJ
conseylà VBDI^3^SG
·ns PRO^D^1^PL
que C
manàssem VBDS^1^PL
armar VB
la D
ost N
, COMMA
que C
la D
vila N
presa VNI
era VBDI^3^SG
, COMMA
que C
no NEG
y PRO^ADV
havia VBDI^3^SG
qui C
la D
deffenés VBDS^3^SG
, COMMA
que C
·m· NUM
o CONJ
pus ADV
hi PRO^ADV
porien VBPC^3^PL
entrar VB
ans ADV
que C
sol ADV
ho PRO^A^NTR
sabessen VBDS^3^PL
. .

A INTJ
, COMMA
Don DPR
veyl! ADJ
¿ ¿
E CONJ
aytal D^DEM
conseyl N
me FW
daríets VBPC^2^PL
vós PRO^2^PL
, COMMA
que C
hom MAN
entre P
en P
la D
ciutat N
de P
nuyt N
, COMMA
e CONJ
la D
nuyt N
sia VBPS^3^SG
escura ADJ
? ?
de P
dies N
no NEG
han VBPI^3^PL
los D
hòmens N
FOL49r FOL
vergonya N
de P
fer VB
mal N
d’ P
armes N
, COMMA
¿ ¿
e CONJ
que C
de P
nuyt N
los PRO^A^3^PL
hi PRO^ADV
meta ADJ
hom MAN
quant C
no NEG
coneix VBPI^3^SG
la D
·i· NUM
l’ D
altre D^Q
? ?
e CONJ
, COMMA
si C
una D^Q
vegada N
entren VBDI^3^PL
los D
de P
la D
ost N
en P
la D
vila N
, COMMA
e CONJ
·ls PRO^A^3^PL
en PRO^ADV
giten VBPI^3^PL
, COMMA
negun D^Q
temps N
depuys ADV
no NEG
pendríem P
Maylorques NPR
. .

E CONJ
él PRO^3^SG
conech VBDI^3^SG
que C
nós PRO^1^PL
deíem VBDI^1^PL
veritat N
, COMMA
e CONJ
atorgà VBDI^3^SG
·ns PRO^D^1^PL
-ho PRO^A^NTR
. .

E CONJ
, COMMA
quant C
vench VBDI^3^SG
a P
l’ D
alba N
, COMMA
fo VBDI^3^SG
emprès VN
que C
hoíssem VBDS^1^PL
les D
misses N
e CONJ
que C
reebéssem VBDS^1^PL
lo D
cors N
de P
Jhesuchrist NPR
. .

E CONJ
, COMMA
hoïdes VNI
les D
misses N
e CONJ
reebut VN
lo D
cors N
de P
Jhesuchrist NPR
, COMMA
dixem VBDI^1^PL
que C
s’ PRO^RFL^3^PL
armassen VBDS^3^PL
tots PRO^Q
, COMMA
cascú PRO^Q
de P
les D
armes N
que C
devia VBDI^3^SG
portar VB
. .

E CONJ
exim VBDI^1^PL
tots PRO^Q
denant P
la D
vila N
, COMMA
en P
aquela D^DEM
plaça N
que C
era VBDI^3^SG
entre P
nós PRO^1^PL
e CONJ
éls PRO^3^PL
. .

E CONJ
açò PRO^3^SG
era VBDI^3^SG
en P
tal ADJ
hora N
que C
ja ADV
s’ PRO^RFL^3^SG
anava VBDI^3^SG
esclarén VG
lo D
dia N
. .

E CONJ
nós PRO^1^PL
acostam VBDI^1^PL
-nos PRO^RFL^1^PL
als P+D
hòmens N
de P
peu N
qui C
estaven VBDI^3^PL
denant P
los D
cavallers N
, COMMA
e CONJ
dixem VBDI^1^PL
-los PRO^D^3^PL
: :
Via INTJ
, COMMA
barons N
, COMMA
pensats VBI^2^PL
d’ P
anar VB
en P
nom N
de P
Nostre D^POS
Seyor N
Déus! NPR
e CONJ
anch ADV
per P
aquesta D^DEM
paraula N
nengú PRO^Q
no NEG
·s PRO^RFL^3^SG
moch VBDI^3^SG
, COMMA
e CONJ
sí ADV
la D
hoïren VBDI^3^PL
tots PRO^Q
, COMMA
així ADV
los D
cavallers N
con C
los D
altres D^Q
. .
